Category,content rating,count,avg_installs,avg_rating
FOOD_AND_DRINK,Teen,8,2137576.25,4.414
FOOD_AND_DRINK,Everyone 10+,2,55000.0,4.3
FOOD_AND_DRINK,Everyone,117,2193915.735,4.147
