Category,content rating,count,avg_installs,avg_rating
SOCIAL,Teen,125,9.3483696168E7,4.302
SOCIAL,Mature 17+,67,2.6039119403E7,4.123
SOCIAL,Everyone 10+,2,505000.0,4.1
SOCIAL,Everyone,101,6324503.772,4.305
