Category,content rating,count,avg_installs,avg_rating
WEATHER,Teen,2,300000.0,4.45
WEATHER,Mature 17+,1,1000000.0,4.7
WEATHER,Everyone 10+,1,1.0E7,4.4
WEATHER,Everyone,78,5314109.231,4.23
