Category,content rating,count,avg_installs,avg_rating
FAMILY,Unrated,1,500.0,
FAMILY,Teen,261,8296617.969,4.157
FAMILY,Mature 17+,50,1278600.64,4.193
FAMILY,Everyone 10+,131,1.3564153244E7,4.239
FAMILY,Everyone,1529,4088954.616,4.194
