Category,content rating,count,avg_installs,avg_rating
AUTO_AND_VEHICLES,Teen,1,1.0E7,4.2
AUTO_AND_VEHICLES,Everyone 10+,1,1000000.0,4.3
AUTO_AND_VEHICLES,Everyone,83,507592.904,4.189
