Category,content rating,count,avg_installs,avg_rating
PHOTOGRAPHY,Teen,12,2.22089175E7,4.292
PHOTOGRAPHY,Mature 17+,5,4.42E7,4.38
PHOTOGRAPHY,Everyone,318,3.0191008318E7,4.185
