Category,content rating,count,avg_installs,avg_rating,avg_reviews,version_mas_utilizada
BUSINESS,Teen,13,7917.692,4.3,308.615,1
BUSINESS,Mature 17+,1,5.0,,0.0,2.3.2
BUSINESS,Everyone 10+,1,100.0,,30.0,3.0.By.EliteMu
BUSINESS,Everyone,445,2251262.539,4.119,31349.461,Varies with device
