Category,content rating,count,avg_installs,avg_rating,avg_reviews,version_mas_utilizada
PHOTOGRAPHY,Teen,12,2.22089175E7,4.292,1351294.75,9.40.3
PHOTOGRAPHY,Mature 17+,5,4.42E7,4.38,531514.6,4.21
PHOTOGRAPHY,Everyone,318,3.0191008318E7,4.185,612086.604,Varies with device
