Category,content rating,count,avg_installs,avg_rating,avg_reviews,version_mas_utilizada
COMICS,Teen,22,1808636.364,4.032,120813.727,Varies with device
COMICS,Mature 17+,7,330000.0,3.771,5109.857,1
COMICS,Everyone 10+,3,170016.667,4.45,3330.667,4.3.0
COMICS,Everyone,26,479850.0,4.344,24933.923,1
COMICS,Adults only 18+,2,500000.0,4.2,15665.5,Varies with device
