Category,content rating,count,avg_installs,avg_rating,avg_reviews,version_mas_utilizada
FAMILY,Unrated,1,500.0,,1.0,5.2
FAMILY,Teen,261,8296617.969,4.157,207195.406,Varies with device
FAMILY,Mature 17+,50,1278600.64,4.193,33133.1,1
FAMILY,Everyone 10+,131,1.3564153244E7,4.239,1217822.985,Varies with device
FAMILY,Everyone,1529,4088954.616,4.194,127506.123,1
