Category,content rating,count,avg_installs,avg_rating,avg_reviews,version_mas_utilizada
PARENTING,Teen,1,50000.0,4.7,107.0,1.4.0
PARENTING,Mature 17+,1,100000.0,4.6,1413.0,2.9.9
PARENTING,Everyone,58,540881.207,4.285,16496.741,Varies with device
